id_client;id_vehicle;id_year;id_claim;claim_nb;claim_amount
A00013461;V01;Year 0;CL01;1;amount= 1236
A00039421;V01;Year 0;CL02;1;amount= 184.81
A00091108;V01;Year 0;CL01;1;amount= 343.07
A00032834;V01;Year 0;CL01;1;amount= 372.23
A00000670;V01;Year 0;CL01;1;amount= 162.35
A00032755;V01;Year 0;CL01;1;amount= -577.72
A00037871;V01;Year 0;CL01;1;amount= 1132.5
A00007020;V01;Year 0;CL01;1;amount= 117.5
A00086881;V01;Year 0;CL02;1;amount= 106.14
A00065706;V01;Year 0;CL01;1;amount= 883.52
A00000076;V01;Year 0;CL01;1;amount= -991.69
A00044251;V01;Year 0;CL01;1;amount= 0
A00006414;V01;Year 0;CL01;1;amount= 106.04
A00032942;V01;Year 0;CL01;1;amount= 291.61
A00033652;V01;Year 0;CL01;1;amount= 1457.87
A00033418;V01;Year 0;CL01;1;amount= 106.14
A00084133;V01;Year 0;CL01;1;amount= 368.11
A00020339;V01;Year 0;CL01;1;amount= 282.61
A00018840;V01;Year 0;CL01;1;amount= 94.14
A00073392;V01;Year 0;CL01;1;amount= 73.48
A00010314;V01;Year 0;CL01;1;amount= -600.85
A00115682;V01;Year 0;CL01;1;amount= 2683.76
A00019420;V01;Year 0;CL01;1;amount= 492.52
A00155901;V01;Year 0;CL01;1;amount= 77.86
A00015013;V01;Year 0;CL01;1;amount= 1236
A00066246;V01;Year 0;CL01;1;amount= 241.16
A00012159;V01;Year 0;CL01;1;amount= 117.67
A00083540;V02;Year 0;CL01;1;amount= 909.89
A00008792;V01;Year 0;CL01;1;amount= 2538.02
A00059757;V01;Year 0;CL01;1;amount= 140.55
A00018173;V01;Year 0;CL01;1;amount= 1555.81
A00084006;V02;Year 0;CL01;1;amount= 602.65
A00057995;V02;Year 0;CL02;1;amount= 1236
A00038987;V01;Year 0;CL01;1;amount= 0
A00049719;V01;Year 0;CL01;1;amount= 686.84
A00087086;V02;Year 0;CL01;1;amount= 129.15
A00012666;V01;Year 0;CL01;1;amount= 1578.39
A00080505;V01;Year 0;CL02;1;amount= -65.5
A00055007;V01;Year 0;CL01;1;amount= 391.78
A00076923;V01;Year 0;CL01;1;amount= 1236
A00053406;V01;Year 0;CL01;1;amount= 613.13
A00057564;V01;Year 0;CL01;1;amount= 2683.76
A00040329;V02;Year 0;CL01;1;amount= 632.58
A00081401;V01;Year 0;CL01;1;amount= 339.36
A00059533;V01;Year 0;CL01;1;amount= 356.88
A00018654;V01;Year 0;CL01;1;amount= 126.97
A00053416;V01;Year 0;CL01;1;amount= 620.09
A00029893;V01;Year 0;CL01;1;amount= -192.99
A00034271;V01;Year 0;CL01;1;amount= 1055.17
A00182153;V01;Year 0;CL01;1;amount= -648.97
A00080083;V01;Year 0;CL01;1;amount= 645.34
A00083624;V01;Year 0;CL01;1;amount= -596.49
A00072026;V01;Year 0;CL01;1;amount= 1236
A00048426;V01;Year 0;CL02;1;amount= 3846.95
A00037529;V01;Year 0;CL02;1;amount= 1294.29
A00032684;V01;Year 0;CL01;1;amount= -505.88
A00066750;V01;Year 0;CL01;1;amount= 1426.33
A00015128;V01;Year 0;CL01;1;amount= 1236
A00038106;V01;Year 0;CL02;1;amount= 305.38
A00003892;V01;Year 0;CL01;1;amount= 1222.75
A00088423;V01;Year 0;CL01;1;amount= 928
A00041182;V01;Year 0;CL01;1;amount= 636.17
A00023141;V01;Year 0;CL01;1;amount= 554.63
A00039790;V01;Year 0;CL01;1;amount= 623.46
A00014455;V01;Year 0;CL01;1;amount= 438.41
A00012247;V01;Year 0;CL01;1;amount= 181.59
A00078268;V01;Year 0;CL01;1;amount= 106.14
A00044048;V01;Year 0;CL01;1;amount= 1215.77
A00054173;V02;Year 0;CL01;1;amount= 446.19
A00002035;V01;Year 0;CL01;1;amount= 105.2
A00003704;V01;Year 0;CL02;1;amount= 316.39
A00077511;V01;Year 0;CL01;1;amount= -803.39
A00148550;V01;Year 0;CL02;1;amount= 0
A00031396;V01;Year 0;CL01;1;amount= 1476.14
A00024199;V01;Year 0;CL04;1;amount= 238.29
A00054133;V01;Year 0;CL02;1;amount= 88.52
A00019054;V01;Year 0;CL01;1;amount= 551.48
A00006789;V01;Year 0;CL01;1;amount= -644.86
A00071994;V01;Year 0;CL01;1;amount= 1236
A00058365;V01;Year 0;CL01;1;amount= 463.83
A00031788;V01;Year 0;CL01;1;amount= -223.68
A00005689;V01;Year 0;CL02;1;amount= 4212.3
A00011682;V01;Year 0;CL01;1;amount= 1114.62
A00050838;V01;Year 0;CL01;1;amount= 701.66
A00033822;V01;Year 0;CL01;1;amount= 463.59
A00045784;V01;Year 0;CL01;1;amount= 106.14
A00090351;V01;Year 0;CL01;1;amount= 718
A00043869;V01;Year 0;CL01;1;amount= 2309.79
A00065832;V01;Year 0;CL01;1;amount= 894.71
A00022714;V01;Year 0;CL01;1;amount= 168.44
A00086364;V01;Year 0;CL01;1;amount= 1025.39
A00085258;V01;Year 0;CL01;1;amount= 532.33
A00066853;V01;Year 0;CL01;1;amount= 1236
A00026106;V01;Year 0;CL01;1;amount= 43.92
A00076964;V01;Year 0;CL01;1;amount= 2260.84
A00010599;V01;Year 0;CL01;1;amount= 779.25
A00037597;V01;Year 0;CL01;1;amount= 298.42
A00031095;V01;Year 0;CL01;1;amount= 0
A00060027;V01;Year 0;CL01;1;amount= -531.35
A00078755;V01;Year 0;CL02;1;amount= 0
A00000874;V01;Year 0;CL01;1;amount= 103.59
A00059671;V01;Year 0;CL03;1;amount= 893.29
A00084290;V01;Year 0;CL01;1;amount= 280.85
A00069707;V01;Year 0;CL01;1;amount= 89.81
A00075296;V01;Year 0;CL01;1;amount= 94.27
A00064252;V01;Year 0;CL02;1;amount= -502.54
A00040145;V01;Year 0;CL03;1;amount= 303.53
A00072150;V01;Year 0;CL01;1;amount= 725.16
A00174651;V03;Year 0;CL01;1;amount= 117.75
A00000948;V01;Year 0;CL01;1;amount= -10.59
A00059211;V01;Year 0;CL01;1;amount= 1236
A00039274;V02;Year 0;CL01;1;amount= 109.08
A00012565;V01;Year 0;CL01;1;amount= 435.92
A00042715;V02;Year 0;CL01;1;amount= 508.96
A00032470;V01;Year 0;CL01;1;amount= -449.48
A00053781;V01;Year 0;CL01;1;amount= 0
A00024528;V01;Year 0;CL01;1;amount= 715.38
A00060315;V01;Year 0;CL02;1;amount= 614.52
A00020310;V01;Year 0;CL01;1;amount= 5287.21
A00025000;V01;Year 0;CL01;1;amount= 164.92
A00046560;V01;Year 0;CL01;1;amount= 525.05
A00038108;V01;Year 0;CL01;1;amount= 639.18
A00086439;V01;Year 0;CL01;1;amount= -784.06
A00049077;V01;Year 0;CL01;1;amount= 140.73
A00030980;V01;Year 0;CL01;1;amount= 0
A00080312;V01;Year 0;CL01;1;amount= 752.17
A00004055;V01;Year 0;CL01;1;amount= 58.89
A00063605;V01;Year 0;CL01;1;amount= 130.11
A00040099;V01;Year 0;CL01;1;amount= 1619.5
A00044018;V01;Year 0;CL01;1;amount= 2718.89
A00000727;V01;Year 0;CL01;1;amount= 437.14
A00058880;V01;Year 0;CL01;1;amount= 372.77
A00064047;V02;Year 0;CL01;1;amount= 1010.41
A00067412;V01;Year 0;CL01;1;amount= 21.53
A00005884;V01;Year 0;CL01;1;amount= 119.44
A00007998;V01;Year 0;CL01;1;amount= 185.04
A00002075;V01;Year 0;CL01;1;amount= 113.87
A00021997;V01;Year 0;CL01;1;amount= 468.42
A00055142;V01;Year 0;CL04;1;amount= 0
A00081109;V01;Year 0;CL02;1;amount= -737.51
A00012894;V01;Year 0;CL02;1;amount= 100.46
A00035860;V01;Year 0;CL02;1;amount= 5151.8
A00090553;V01;Year 0;CL01;1;amount= 573.79
A00025596;V01;Year 0;CL01;1;amount= 1220.86
A00063940;V02;Year 0;CL01;1;amount= 103.59
A00026766;V01;Year 0;CL01;1;amount= 729.3
A00059450;V01;Year 0;CL01;1;amount= 825.39
A00047017;V01;Year 0;CL01;1;amount= 50.23
A00004778;V01;Year 0;CL01;1;amount= 272.94
A00002601;V01;Year 0;CL01;1;amount= 1970.05
A00084474;V02;Year 0;CL01;1;amount= 2643.21
A00069810;V01;Year 0;CL02;1;amount= 1010.41
A00056935;V02;Year 0;CL01;1;amount= 4526.7
A00088009;V01;Year 0;CL01;1;amount= 62.79
A00074801;V01;Year 0;CL01;1;amount= 770.2
A00053671;V01;Year 0;CL01;1;amount= 1010.41
A00081473;V01;Year 0;CL01;1;amount= 174.88
A00028751;V01;Year 0;CL01;1;amount= 2553.49
A00072247;V01;Year 0;CL01;1;amount= 0
A00038065;V01;Year 0;CL01;1;amount= 130.11
A00061386;V01;Year 0;CL01;1;amount= -78.93
A00088865;V01;Year 0;CL01;1;amount= 83.06
A00072187;V01;Year 0;CL01;1;amount= 45.73
A00009528;V01;Year 0;CL02;1;amount= 2683.76
A00047265;V01;Year 0;CL01;1;amount= -382.65
A00075521;V01;Year 0;CL01;1;amount= 258.95
A00040079;V02;Year 0;CL01;1;amount= 294.25
A00062418;V01;Year 0;CL01;1;amount= 110.98
A00029003;V01;Year 0;CL01;1;amount= 2252.99
A00027389;V01;Year 0;CL01;1;amount= 256.76
A00041524;V01;Year 0;CL01;1;amount= 1338.74
A00009046;V01;Year 0;CL01;1;amount= 4729.18
A00032383;V01;Year 0;CL01;1;amount= 1656.6
A00006894;V01;Year 0;CL01;1;amount= 4933.05
A00067599;V01;Year 0;CL01;1;amount= 2453.28
A00050762;V01;Year 0;CL01;1;amount= 223.1
A00078405;V01;Year 0;CL01;1;amount= 1215.61
A00061853;V01;Year 0;CL02;1;amount= 488.54
A00008896;V02;Year 0;CL01;1;amount= 984.83
A00041087;V01;Year 0;CL01;1;amount= 392.05
A00063258;V01;Year 0;CL01;1;amount= 1612.72
A00126796;V01;Year 0;CL01;1;amount= -97.21
A00035501;V01;Year 0;CL01;1;amount= 474.8
A00079593;V01;Year 0;CL01;1;amount= 302.06
A00019525;V01;Year 0;CL01;1;amount= 0
A00006613;V01;Year 0;CL01;1;amount= 262.3
A00054931;V01;Year 0;CL01;1;amount= 106.14
A00065205;V01;Year 0;CL01;1;amount= 445.5
A00079414;V01;Year 0;CL01;1;amount= 120.92
A00017351;V01;Year 0;CL01;1;amount= 391.21
A00078128;V01;Year 0;CL01;1;amount= 0
A00009336;V01;Year 0;CL01;1;amount= 46.61
A00044929;V01;Year 0;CL01;1;amount= 440.86
A00066719;V01;Year 0;CL01;1;amount= 615.87
A00100750;V01;Year 0;CL01;1;amount= 201.1
A00049945;V01;Year 0;CL01;1;amount= 151.17
A00076455;V01;Year 0;CL01;1;amount= 1126.75
A00030108;V02;Year 0;CL01;1;amount= 1560.94
A00077156;V01;Year 0;CL01;1;amount= 132.57
A00017757;V01;Year 0;CL01;1;amount= 306.66
A00089708;V01;Year 0;CL01;1;amount= 554.94
A00032599;V01;Year 0;CL01;1;amount= 79.56
A00043284;V01;Year 0;CL01;1;amount= 2515.19
A00051179;V01;Year 0;CL01;1;amount= 74.31
A00079577;V01;Year 0;CL01;1;amount= 181.52
A00007712;V01;Year 0;CL01;1;amount= -396.44
A00047947;V01;Year 0;CL01;1;amount= 0
A00004572;V01;Year 0;CL01;1;amount= 419.78
A00015833;V01;Year 0;CL01;1;amount= 0
A00085347;V01;Year 0;CL01;1;amount= 365.51
A00003262;V01;Year 0;CL01;1;amount= 739.81
A00005274;V01;Year 0;CL01;1;amount= 1146.34
A00081989;V01;Year 0;CL01;1;amount= 1236
A00068614;V01;Year 0;CL01;1;amount= 2453.28
A00018591;V01;Year 0;CL01;1;amount= 64.38
A00084480;V02;Year 0;CL01;1;amount= 84.42
A00056292;V01;Year 0;CL01;1;amount= 498.61
A00056908;V01;Year 0;CL01;1;amount= 362.35
A00057207;V01;Year 0;CL01;1;amount= 106.14
A00090301;V01;Year 0;CL01;1;amount= 477.67
A00089003;V01;Year 0;CL02;1;amount= 468.41
A00040145;V01;Year 0;CL02;1;amount= 1171.66
A00011942;V01;Year 0;CL01;1;amount= 0
A00014333;V01;Year 0;CL02;1;amount= 520.77
A00013994;V01;Year 0;CL01;1;amount= 145.12
A00082275;V01;Year 0;CL01;1;amount= 557.93
A00048525;V01;Year 0;CL01;1;amount= 1240.89
A00025602;V01;Year 0;CL01;1;amount= 1071.17
A00062012;V01;Year 0;CL01;1;amount= 1236
A00058856;V01;Year 0;CL01;1;amount= 361.6
A00089739;V01;Year 0;CL01;1;amount= 1236
A00048434;V01;Year 0;CL01;1;amount= 6727.96
A00036756;V01;Year 0;CL02;1;amount= 3024.55
A00038637;V01;Year 0;CL02;1;amount= 1236
A00015436;V02;Year 0;CL01;1;amount= 0
A00003473;V01;Year 0;CL01;1;amount= 712.51
A00078326;V01;Year 0;CL02;1;amount= 262.75
A00050584;V01;Year 0;CL01;1;amount= -741.38
A00021829;V01;Year 0;CL01;1;amount= 1236
A00023744;V01;Year 0;CL01;1;amount= 959.28
A00081667;V01;Year 0;CL01;1;amount= -24.6
A00087953;V01;Year 0;CL01;1;amount= 186.29
A00088364;V01;Year 0;CL01;1;amount= 1010.41
A00167789;V01;Year 0;CL01;1;amount= 249.83
A00073293;V01;Year 0;CL01;1;amount= 207.28
A00017381;V01;Year 0;CL01;1;amount= 342.55
A00075180;V01;Year 0;CL01;1;amount= 107.64
A00000990;V01;Year 0;CL02;1;amount= 409.9
A00064857;V01;Year 0;CL01;1;amount= 370.48
A00000103;V01;Year 0;CL01;1;amount= 1389.39
A00015533;V01;Year 0;CL01;1;amount= 1078.05
A00007150;V01;Year 0;CL01;1;amount= 711.34
A00031997;V01;Year 0;CL01;1;amount= 675.84
A00075167;V01;Year 0;CL01;1;amount= 979.55
A00044140;V01;Year 0;CL01;1;amount= 108.57
A00089743;V01;Year 0;CL01;1;amount= 626.76
A00057829;V01;Year 0;CL01;1;amount= 545.88
A00108227;V01;Year 0;CL01;1;amount= 340.8
A00052982;V01;Year 0;CL01;1;amount= 2683.76
A00007617;V01;Year 0;CL01;1;amount= 185.38
A00076026;V01;Year 0;CL01;1;amount= 1509.83
A00054252;V01;Year 0;CL01;1;amount= 414.69
A00046959;V01;Year 0;CL01;1;amount= 543.89
A00073478;V01;Year 0;CL01;1;amount= 223.25
A00038314;V01;Year 0;CL01;1;amount= 496.98
A00045509;V01;Year 0;CL01;1;amount= 1010.41
A00088534;V01;Year 0;CL01;1;amount= 1951.54
A00002337;V01;Year 0;CL01;1;amount= 2545.61
A00079049;V01;Year 0;CL01;1;amount= 1442.87
A00033788;V01;Year 0;CL01;1;amount= 896.99
A00028036;V01;Year 0;CL01;1;amount= 200
A00088745;V01;Year 0;CL01;1;amount= 110.98
A00062952;V01;Year 0;CL01;1;amount= 134.82
A00076245;V01;Year 0;CL02;1;amount= 305.68
A00048646;V01;Year 0;CL01;1;amount= 82.32
A00075375;V01;Year 0;CL01;1;amount= 84.42
A00080702;V01;Year 0;CL01;1;amount= 1508.87
A00007049;V01;Year 0;CL01;1;amount= 247.14
A00066577;V01;Year 0;CL01;1;amount= 254.78
A00073726;V01;Year 0;CL01;1;amount= 1236
A00030282;V01;Year 0;CL01;1;amount= 714.09
A00086237;V01;Year 0;CL01;1;amount= 1236
A00060348;V01;Year 0;CL01;1;amount= -559.45
A00027970;V01;Year 0;CL02;1;amount= 568.18
A00014001;V01;Year 0;CL01;1;amount= 1079.77
A00046642;V01;Year 0;CL01;1;amount= 247.95
A00044385;V01;Year 0;CL01;1;amount= 1236
A00068686;V01;Year 0;CL01;1;amount= 109.55
A00002792;V01;Year 0;CL01;1;amount= -628.05
A00005726;V01;Year 0;CL02;1;amount= 948.25
A00022234;V01;Year 0;CL01;1;amount= 947.46
A00056372;V01;Year 0;CL01;1;amount= 667.74
A00000146;V01;Year 0;CL01;1;amount= 126.84
A00007649;V01;Year 0;CL01;1;amount= 222.64
A00046659;V01;Year 0;CL01;1;amount= 2453.28
A00019350;V01;Year 0;CL01;1;amount= 1236
A00064718;V01;Year 0;CL01;1;amount= 537.07
A00028331;V01;Year 0;CL01;1;amount= 654.97
A00014734;V01;Year 0;CL01;1;amount= 426.86
A00020284;V01;Year 0;CL01;1;amount= 1109.7
A00140701;V01;Year 0;CL01;1;amount= 622.52
A00009893;V01;Year 0;CL01;1;amount= 56.19
A00008213;V01;Year 0;CL02;1;amount= 611.51
A00010510;V01;Year 0;CL01;1;amount= 2621.67
A00082894;V01;Year 0;CL01;1;amount= 516.29
A00051401;V01;Year 0;CL01;1;amount= 71.73
A00030256;V01;Year 0;CL02;1;amount= 492.36
A00028061;V01;Year 0;CL01;1;amount= 106.14
A00050015;V01;Year 0;CL01;1;amount= 173.43
A00065686;V01;Year 0;CL01;1;amount= 0
A00082979;V01;Year 0;CL02;1;amount= 5573.96
A00030029;V01;Year 0;CL01;1;amount= -585.77
A00049782;V01;Year 0;CL01;1;amount= 363.43
A00004791;V02;Year 0;CL01;1;amount= 1609.78
A00079967;V01;Year 0;CL01;1;amount= 3161.82
A00008539;V01;Year 0;CL01;1;amount= 1236
A00091290;V01;Year 0;CL01;1;amount= 89.7
A00084191;V01;Year 0;CL01;1;amount= 802.39
A00038019;V02;Year 0;CL01;1;amount= 847.46
A00066134;V02;Year 0;CL01;1;amount= 168.25
A00012078;V01;Year 0;CL02;1;amount= 1236
A00007798;V01;Year 0;CL01;1;amount= 125.22
A00074251;V01;Year 0;CL01;1;amount= 997.46
A00072871;V01;Year 0;CL01;1;amount= 230.98
A00049933;V01;Year 0;CL01;1;amount= 1103.7
A00082520;V01;Year 0;CL01;1;amount= 0
A00043856;V02;Year 0;CL01;1;amount= -310.9
A00037539;V01;Year 0;CL01;1;amount= 580.25
A00009430;V01;Year 0;CL01;1;amount= 155.65
A00032612;V02;Year 0;CL01;1;amount= 415.61
A00042309;V01;Year 0;CL01;1;amount= 110.98
A00063825;V01;Year 0;CL01;1;amount= 3610.69
A00039866;V01;Year 0;CL01;1;amount= 273.05
A00015341;V01;Year 0;CL01;1;amount= -794.57
A00037662;V01;Year 0;CL01;1;amount= -398.45
A00033418;V01;Year 0;CL02;1;amount= 1243.35
A00025087;V01;Year 0;CL01;1;amount= 818.6
A00040994;V01;Year 0;CL01;1;amount= 491.63
A00053963;V01;Year 0;CL01;1;amount= 457.82
A00042868;V01;Year 0;CL01;1;amount= 1689.58
A00004113;V01;Year 0;CL01;1;amount= 451.98
A00028613;V01;Year 0;CL01;1;amount= 212.43
A00066437;V01;Year 0;CL01;1;amount= -416.09
A00044276;V01;Year 0;CL01;1;amount= 768.25
A00052336;V01;Year 0;CL01;1;amount= 2499.04
A00008448;V02;Year 0;CL01;1;amount= 188.8
A00048131;V01;Year 0;CL01;1;amount= 580.55
A00004441;V01;Year 0;CL01;1;amount= 0
A00034947;V01;Year 0;CL01;1;amount= 1011.69
A00046170;V01;Year 0;CL01;1;amount= -639.18
A00034427;V01;Year 0;CL01;1;amount= 367.12
A00080413;V02;Year 0;CL01;1;amount= 550
A00070565;V01;Year 0;CL02;1;amount= 82.32
A00013856;V01;Year 0;CL01;1;amount= 849.43
A00073804;V01;Year 0;CL01;1;amount= 6882.04
A00031381;V01;Year 0;CL01;1;amount= 106.14
A00046155;V01;Year 0;CL01;1;amount= 1236
A00036585;V01;Year 0;CL01;1;amount= 275.99
A00054975;V01;Year 0;CL02;1;amount= 246.62
A00124279;V01;Year 0;CL01;1;amount= 2683.76
A00024148;V01;Year 0;CL01;1;amount= 849.99
A00090432;V01;Year 0;CL01;1;amount= 4083.63
A00066400;V03;Year 0;CL01;1;amount= 1010.41
A00061913;V01;Year 0;CL01;1;amount= 311.63
A00011219;V01;Year 0;CL02;1;amount= 504.76
A00028627;V01;Year 0;CL01;1;amount= 73.18
A00058484;V01;Year 0;CL01;1;amount= 116.45
A00045541;V01;Year 0;CL01;1;amount= 130.11
A00070021;V01;Year 0;CL01;1;amount= 106.14
A00057995;V02;Year 0;CL03;1;amount= 1236
A00054060;V01;Year 0;CL01;1;amount= 1627.89
A00011219;V01;Year 0;CL01;1;amount= 427.8
A00022858;V02;Year 0;CL01;1;amount= 504.01
A00042415;V01;Year 0;CL01;1;amount= 1637.28
A00006383;V01;Year 0;CL01;1;amount= 384.88
A00056431;V01;Year 0;CL01;1;amount= 685.03
A00045267;V01;Year 0;CL01;1;amount= 65.8
A00027478;V01;Year 0;CL01;1;amount= 1283.11
A00028338;V01;Year 0;CL01;1;amount= 1073.8
A00080421;V01;Year 0;CL01;1;amount= 75.88
A00039093;V01;Year 0;CL01;1;amount= 869.33
A00020961;V01;Year 0;CL01;1;amount= 370.37
A00036986;V01;Year 0;CL01;1;amount= -270.69
A00014925;V01;Year 0;CL01;1;amount= 465.61
A00091294;V01;Year 0;CL01;1;amount= 305.01
A00008118;V01;Year 0;CL01;1;amount= 938.58
A00012462;V01;Year 0;CL01;1;amount= 1759.73
A00002651;V02;Year 0;CL03;1;amount= 1010.41
A00080541;V01;Year 0;CL01;1;amount= 1210.7
A00081355;V01;Year 0;CL01;1;amount= 101.78
A00036251;V01;Year 0;CL01;1;amount= 195.69
A00045204;V01;Year 0;CL01;1;amount= 1010.41
A00042910;V01;Year 0;CL01;1;amount= 171.62
A00050592;V01;Year 0;CL01;1;amount= 96.24
A00027057;V01;Year 0;CL02;1;amount= 106.14
A00022675;V01;Year 0;CL01;1;amount= 722.04
A00025815;V01;Year 0;CL01;1;amount= 616.58
A00182788;V01;Year 0;CL01;1;amount= 6049.11
A00025948;V01;Year 0;CL01;1;amount= 2342.02
A00067987;V01;Year 0;CL01;1;amount= -459.39
A00031126;V01;Year 0;CL01;1;amount= -707.86
A00068092;V01;Year 0;CL02;1;amount= 0
A00082347;V01;Year 0;CL01;1;amount= 645.63
A00054848;V01;Year 0;CL01;1;amount= 861.65
A00078625;V01;Year 0;CL01;1;amount= 802.75
A00033021;V01;Year 0;CL01;1;amount= 2704.51
A00011688;V01;Year 0;CL02;1;amount= 0
A00091406;V01;Year 0;CL01;1;amount= 1459.34
A00043644;V01;Year 0;CL01;1;amount= 0
A00059280;V01;Year 0;CL01;1;amount= 183.05
A00007433;V01;Year 0;CL01;1;amount= -34.43
A00077927;V01;Year 0;CL01;1;amount= 2989.17
A00041905;V01;Year 0;CL01;1;amount= 768.03
A00002500;V01;Year 0;CL01;1;amount= 45
A00027356;V02;Year 0;CL01;1;amount= 644.93
A00086991;V01;Year 0;CL01;1;amount= 203.89
A00008147;V01;Year 0;CL01;1;amount= 4491.47
A00081680;V01;Year 0;CL01;1;amount= -177.95
A00087457;V01;Year 0;CL01;1;amount= 106.14
A00027728;V01;Year 0;CL01;1;amount= 1822.46
A00037782;V01;Year 0;CL01;1;amount= 183.8
A00024619;V01;Year 0;CL01;1;amount= 178.59
A00028846;V01;Year 0;CL01;1;amount= 2554.94
A00148250;V01;Year 0;CL01;1;amount= -434.8
A00022050;V01;Year 0;CL01;1;amount= 2753.51
A00013228;V01;Year 0;CL01;1;amount= 630.24
A00003003;V01;Year 0;CL01;1;amount= 99.15
A00051186;V01;Year 0;CL01;1;amount= 319.92
A00044064;V01;Year 0;CL01;1;amount= 1236
A00005613;V01;Year 0;CL01;1;amount= 1971.18
A00088467;V01;Year 0;CL01;1;amount= 1010.41
A00014670;V01;Year 0;CL01;1;amount= -1039.27
A00082656;V01;Year 0;CL01;1;amount= 2734.61
A00051819;V01;Year 0;CL01;1;amount= 566.53
A00009346;V01;Year 0;CL01;1;amount= 104.56
A00033332;V01;Year 0;CL01;1;amount= -791.84
A00087469;V01;Year 0;CL01;1;amount= 653.25
A00035502;V01;Year 0;CL01;1;amount= 0
A00004603;V02;Year 0;CL01;1;amount= 130.11
A00024975;V01;Year 0;CL01;1;amount= 1236
A00071098;V01;Year 0;CL01;1;amount= 96.66
A00072004;V01;Year 0;CL01;1;amount= 101.89
A00059203;V01;Year 0;CL01;1;amount= 1503.31
A00008041;V01;Year 0;CL01;1;amount= 1012.64
A00021380;V01;Year 0;CL01;1;amount= 1236
A00081101;V01;Year 0;CL01;1;amount= 1236
A00070589;V02;Year 0;CL01;1;amount= 87.09
A00004646;V01;Year 0;CL03;1;amount= 311.19
A00020034;V01;Year 0;CL01;1;amount= 0
A00063066;V01;Year 0;CL01;1;amount= 1171.18
A00003300;V01;Year 0;CL01;1;amount= 553.96
A00032794;V01;Year 0;CL01;1;amount= 78.95
A00068571;V01;Year 0;CL01;1;amount= 106.14
A00033037;V01;Year 0;CL01;1;amount= 658.24
A00079626;V01;Year 0;CL01;1;amount= -558.43
A00003556;V01;Year 0;CL01;1;amount= -857.36
A00036546;V01;Year 0;CL01;1;amount= 366.41
A00016904;V01;Year 0;CL01;1;amount= 316.55
A00000056;V01;Year 0;CL01;1;amount= 1236
A00077757;V01;Year 0;CL01;1;amount= -276.83
A00054782;V01;Year 0;CL01;1;amount= 1210.84
A00002197;V01;Year 0;CL03;1;amount= 13972.96
A00034927;V01;Year 0;CL01;1;amount= 683.03
A00068265;V01;Year 0;CL01;1;amount= -194.47
A00012628;V01;Year 0;CL01;1;amount= 1964.14
A00058133;V01;Year 0;CL01;1;amount= 197.1
A00006257;V01;Year 0;CL03;1;amount= 298.67
A00068207;V01;Year 0;CL01;1;amount= -158.39
A00011401;V01;Year 0;CL01;1;amount= 225.82
A00064481;V01;Year 0;CL02;1;amount= 2583.35
A00015548;V01;Year 0;CL01;1;amount= 1236
A00004725;V01;Year 0;CL01;1;amount= 1236
